@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcAddr,srcPort,dstAddr,dstPort
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173122,2022-03-01 22:18:42.000,-7,10.0.1.104,39874,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173123,2022-03-01 22:18:43.000,-8,10.0.1.104,39875,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173124,2022-03-01 22:18:44.000,-9,10.0.1.104,39876,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173125,2022-03-01 22:18:45.000,-10,10.0.1.104,39877,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173126,2022-03-01 22:18:46.000,-11,10.0.1.104,39878,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173127,2022-03-01 22:18:47.000,-12,10.0.1.104,39879,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173128,2022-03-01 22:18:48.000,-13,10.0.1.104,39880,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173129,2022-03-01 22:18:49.000,-14,10.0.1.104,39881,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173130,2022-03-01 22:18:50.000,-15,10.0.1.104,39882,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173131,2022-03-01 22:18:51.000,-16,10.0.1.104,39883,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173132,2022-03-01 22:18:52.000,-17,10.0.1.104,39884,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173133,2022-03-01 22:18:53.000,-18,10.0.1.104,39885,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173134,2022-03-01 22:18:54.000,43,10.0.1.104,39886,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173135,2022-03-01 22:18:55.000,-20,10.0.1.104,39887,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173136,2022-03-01 22:18:56.000,-21,10.0.1.104,39888,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173137,2022-03-01 22:18:57.000,40,10.0.1.104,39889,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173138,2022-03-01 22:18:58.000,-23,10.0.1.104,39890,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173139,2022-03-01 22:18:59.000,-24,10.0.1.104,39891,18.209.225.131,7777
2022-03-01 22:27:32.582,2022-03-01 22:19:37.000,475.582,7.9264,1646173177,1646173140,2022-03-01 22:19:00.000,37,10.0.1.104,39892,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173141,2022-03-01 22:19:01.000,-26,10.0.1.104,39893,18.209.225.131,7777
2022-03-01 22:27:32.698,2022-03-01 22:18:35.000,537.698,8.9616,1646173115,1646173142,2022-03-01 22:19:02.000,-27,10.0.1.104,39894,18.209.225.131,7777
