@ingestionTime,@timestamp,IngestDelaySecs,IngestDelayMins,TimeStampEpoch,SentTimeEpoch,SentTime,TimeStampDelaySec,srcPort
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334040,2022-03-03 19:00:40.000,0,4184
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334041,2022-03-03 19:00:41.000,-1,4185
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334042,2022-03-03 19:00:42.000,-2,4186
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334043,2022-03-03 19:00:43.000,-3,4187
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334044,2022-03-03 19:00:44.000,-4,4188
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334045,2022-03-03 19:00:45.000,-5,4189
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334046,2022-03-03 19:00:46.000,-6,4190
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334047,2022-03-03 19:00:47.000,-7,4191
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334048,2022-03-03 19:00:48.000,-8,4192
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334049,2022-03-03 19:00:49.000,-9,4193
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334050,2022-03-03 19:00:50.000,-10,4194
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334051,2022-03-03 19:00:51.000,-11,4195
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334052,2022-03-03 19:00:52.000,-12,4196
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334053,2022-03-03 19:00:53.000,-13,4197
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334054,2022-03-03 19:00:54.000,-14,4198
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334055,2022-03-03 19:00:55.000,-15,4199
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334056,2022-03-03 19:00:56.000,-16,4200
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334057,2022-03-03 19:00:57.000,-17,4201
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334058,2022-03-03 19:00:58.000,-18,4202
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334059,2022-03-03 19:00:59.000,-19,4203
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334060,2022-03-03 19:01:00.000,-20,4204
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334061,2022-03-03 19:01:01.000,-21,4205
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334062,2022-03-03 19:01:02.000,-22,4206
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334063,2022-03-03 19:01:03.000,-23,4207
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334064,2022-03-03 19:01:04.000,-24,4208
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334065,2022-03-03 19:01:05.000,-25,4209
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334066,2022-03-03 19:01:06.000,-26,4210
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334067,2022-03-03 19:01:07.000,-27,4211
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334068,2022-03-03 19:01:08.000,-28,4212
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334069,2022-03-03 19:01:09.000,-29,4213
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334070,2022-03-03 19:01:10.000,-30,4214
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334071,2022-03-03 19:01:11.000,-31,4215
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334072,2022-03-03 19:01:12.000,-32,4216
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334073,2022-03-03 19:01:13.000,-33,4217
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334074,2022-03-03 19:01:14.000,-34,4218
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334075,2022-03-03 19:01:15.000,-35,4219
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334076,2022-03-03 19:01:16.000,-36,4220
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334077,2022-03-03 19:01:17.000,-37,4221
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334078,2022-03-03 19:01:18.000,-38,4222
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334079,2022-03-03 19:01:19.000,-39,4223
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334080,2022-03-03 19:01:20.000,-40,4224
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334081,2022-03-03 19:01:21.000,-41,4225
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334082,2022-03-03 19:01:22.000,-42,4226
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334083,2022-03-03 19:01:23.000,-43,4227
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334084,2022-03-03 19:01:24.000,-44,4228
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334085,2022-03-03 19:01:25.000,-45,4229
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334086,2022-03-03 19:01:26.000,-46,4230
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334087,2022-03-03 19:01:27.000,-47,4231
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334088,2022-03-03 19:01:28.000,-48,4232
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334089,2022-03-03 19:01:29.000,-49,4233
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334090,2022-03-03 19:01:30.000,-50,4234
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334091,2022-03-03 19:01:31.000,-51,4235
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334092,2022-03-03 19:01:32.000,-52,4236
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334093,2022-03-03 19:01:33.000,-53,4237
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334094,2022-03-03 19:01:34.000,-54,4238
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334095,2022-03-03 19:01:35.000,-55,4239
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334096,2022-03-03 19:01:36.000,-56,4240
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334097,2022-03-03 19:01:37.000,-57,4241
2022-03-03 19:03:04.651,2022-03-03 19:00:40.000,144.651,2.4109,1646334040,1646334098,2022-03-03 19:01:38.000,-58,4242
2022-03-03 19:03:04.651,2022-03-03 19:01:39.000,85.651,1.4275,1646334099,1646334099,2022-03-03 19:01:39.000,0,4243
2022-03-03 19:03:04.651,2022-03-03 19:01:39.000,85.651,1.4275,1646334099,1646334100,2022-03-03 19:01:40.000,-1,4244
2022-03-03 19:03:04.651,2022-03-03 19:01:39.000,85.651,1.4275,1646334099,1646334101,2022-03-03 19:01:41.000,-2,4245
2022-03-03 19:03:04.651,2022-03-03 19:01:39.000,85.651,1.4275,1646334099,1646334102,2022-03-03 19:01:42.000,-3,4246
